Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
55,"['wheel', 'wheel', 'wheel', 'wheel']",[0.74316794 0.7799929  0.7272012  0.75635755],"[277.61505126953125, 935.7910766601562, 100.83210754394531, 1183.2335205078125]","[357.43402099609375, 357.1609802246094, 357.59967041015625, 358.5445251464844]","[492.820068359375, 1211.7479248046875, 299.0345458984375, 1279.6163330078125]","[537.308349609375, 569.8511962890625, 528.8655395507812, 558.8296508789062]"
56,"['wheel', 'wheel', 'wheel', 'wheel']",[0.746139   0.7648916  0.7185944  0.66714764],"[298.88031005859375, 961.8828735351562, 121.41171264648438, 1211.75048828125]","[357.551025390625, 357.0268859863281, 357.5572204589844, 362.07220458984375]","[513.920654296875, 1244.4527587890625, 318.9710693359375, 1279.701171875]","[537.683349609375, 571.7550659179688, 529.993896484375, 557.38037109375]"
57,"['wheel', 'wheel', 'wheel', 'wheel']",[0.7490872  0.7905303  0.7356416  0.44818476],"[320.38580322265625, 987.7073974609375, 141.46630859375, 1244.9884033203125]","[357.4025573730469, 356.8694763183594, 357.3896484375, 374.94512939453125]","[534.7796630859375, 1277.942138671875, 342.995849609375, 1279.69384765625]","[538.6170043945312, 573.296630859375, 530.2213745117188, 548.6951904296875]"
58,"['wheel', 'wheel', 'wheel']",[0.8255897  0.7676898  0.75346667],"[1013.924072265625, 342.3388977050781, 161.4781494140625]","[357.49639892578125, 357.94482421875, 357.7928771972656]","[1279.4407958984375, 556.2696533203125, 363.281982421875]","[574.3303833007812, 539.61279296875, 531.4169311523438]"
59,"['wheel', 'wheel', 'wheel']",[0.77321637 0.83973396 0.7676898 ],"[364.20562744140625, 1040.25732421875, 181.76162719726562]","[357.4070129394531, 356.7909240722656, 357.24151611328125]","[578.057861328125, 1279.5765380859375, 385.2256774902344]","[541.3585815429688, 574.9195556640625, 532.5847778320312]"
60,"['wheel', 'wheel', 'wheel']",[0.7634837  0.81047887 0.7606507 ],"[387.20037841796875, 1066.709228515625, 202.31857299804688]","[357.00115966796875, 356.1926574707031, 357.255126953125]","[600.6035766601562, 1279.679931640625, 403.3675537109375]","[542.4691772460938, 575.6739501953125, 534.098388671875]"
61,"['wheel', 'wheel', 'wheel']",[0.76629364 0.8365546  0.7759446 ],"[222.82015991210938, 1095.2080078125, 409.91436767578125]","[358.1315002441406, 356.88067626953125, 358.08587646484375]","[427.425048828125, 1279.2396240234375, 622.1555786132812]","[535.0093994140625, 575.8794555664062, 543.6011352539062]"
62,"['wheel', 'wheel', 'wheel']",[0.77864933 0.7620701  0.79692537],"[433.16644287109375, 243.5806884765625, 1121.520751953125]","[357.22247314453125, 357.04595947265625, 356.44256591796875]","[644.1546630859375, 447.84722900390625, 1279.1954345703125]","[544.2647705078125, 536.0183715820312, 575.581787109375]"
63,"['wheel', 'wheel', 'wheel']",[0.754915  0.7826625 0.5387406],"[455.901123046875, 264.2688293457031, 1148.9945068359375]","[357.2904052734375, 357.2249755859375, 356.8528137207031]","[666.5467529296875, 471.0623474121094, 1279.549072265625]","[545.5272216796875, 537.0421752929688, 575.4945068359375]"
64,"['wheel', 'wheel', 'wheel']",[0.78133065 0.7676898  0.5640985 ],"[480.16796875, 285.7763977050781, 1177.6468505859375]","[357.5531921386719, 357.2977600097656, 358.5883483886719]","[689.4406127929688, 493.2281799316406, 1279.4942626953125]","[546.8502807617188, 538.1663208007812, 564.3204956054688]"
